[INFO] 2025-03-24 15:56:41,267 TestForm1ParameterizedSeleniumFirefox.setUp() - Initialisiere Webdriver
[INFO] 2025-03-24 15:56:43,821 TestForm1ParameterizedSeleniumFirefox.testForm1() - Starte TestForm1 Testseite
[INFO] 2025-03-24 15:56:43,835 Selenium Test Pages.afterFindBy() - Webelement [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> css selector: #__ac_name] wurde gefunden. 
[INFO] 2025-03-24 15:56:43,848 Selenium Test Pages.afterChangeValueOf() - Der Wert [selenium102] wurde an das Element [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> css selector: #__ac_name] gesendet. 
[INFO] 2025-03-24 15:56:43,851 Selenium Test Pages.afterFindBy() - Webelement [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> xpath: //input[@id='__ac_password']] wurde gefunden. 
[INFO] 2025-03-24 15:56:43,856 Selenium Test Pages.afterChangeValueOf() - Der Wert [codingsolo] wurde an das Element [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> xpath: //input[@id='__ac_password']] gesendet. 
[INFO] 2025-03-24 15:56:43,858 Selenium Test Pages.afterFindBy() - Webelement [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> xpath: //input[@value='Anmelden']] wurde gefunden. 
[INFO] 2025-03-24 15:56:44,598 Selenium Test Pages.afterClickOn() - Das Element [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> xpath: //input[@value='Anmelden']] wurde angeklickt. 
[INFO] 2025-03-24 15:56:44,602 Selenium Test Pages.afterFindBy() - Webelement [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> id: portaltab-burger-menu] wurde gefunden. 
[INFO] 2025-03-24 15:56:44,833 Selenium Test Pages.afterClickOn() - Das Element [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> id: portaltab-burger-menu] wurde angeklickt. 
[INFO] 2025-03-24 15:56:44,854 Selenium Test Pages.afterFindBy() - Webelement [[FirefoxDriver: firefox on MAC (f2faf0aa-f3a3-4899-832e-4da868990ecd)] -> link text: Selenium Testapplikationen] wurde gefunden. 
